"Inlet (F)","Outlet (F)","Q (GPM)"
144.14,193.28,10.5
145.04,193.46,10.5
144.32,193.46,10.6
144.5,193.1,10.5
144.68,193.64,10.5
144.32,193.46,10.5
144.14,193.46,10.7
145.58,193.28,10.5
144.14,193.64,10.5
144.5,193.46,10.7
144.68,193.46,10.4
144.68,193.28,10.6
144.32,193.1,10.6
144.68,193.46,10.6
144.5,193.28,10.6
144.86,193.46,10.3
144.14,193.64,10.5
143.96,193.46,10.5
144.5,193.46,10.6
144.5,193.46,10.8
144.5,193.64,10.2
145.4,193.64,10.7
144.14,193.64,10.7
144.5,193.46,10.6
145.22,193.64,10.6
144.68,193.46,10.4
145.22,193.46,10.4
