point a, point b, number of intersections
station_1, Barrow, 3
station_2, Barrow, 28
station_3, Barrow, 28
station_4, Barrow, 34
station_5, Barrow, 34
station_6, Barrow, 47
station_7, Barrow, 59
station_8, Barrow, 72
station_9, Barrow, 78
station_10, Barrow, 77
station_1, Bethel, 147
station_2, Bethel, 138
station_3, Bethel, 116
station_4, Bethel, 107
station_5, Bethel, 69
station_6, Bethel, 87
station_7, Bethel, 76
station_8, Bethel, 115
station_9, Bethel, 121
station_10, Bethel, 109
station_1, Kotzebue, 58
station_2, Kotzebue, 86
station_3, Kotzebue, 79
station_4, Kotzebue, 52
station_5, Kotzebue, 40
station_6, Kotzebue, 49
station_7, Kotzebue, 61
station_8, Kotzebue, 81
station_9, Kotzebue, 94
station_10, Kotzebue, 83
station_1, Nome, 76
station_2, Nome, 87
station_3, Nome, 94
station_4, Nome, 74
station_5, Nome, 63
station_6, Nome, 79
station_7, Nome, 79
station_8, Nome, 85
station_9, Nome, 89
station_10, Nome, 70
station_1, Tanana, 51
station_2, Tanana, 38
station_3, Tanana, 39
station_4, Tanana, 35
station_5, Tanana, 15
station_6, Tanana, 17
station_7, Tanana, 15
station_8, Tanana, 30
station_9, Tanana, 39
station_10, Tanana, 40
